nED, period, size, distance, nGW, environment, sf, traffic_type, coding_rate, bandwidth, crc, success_rate, energy
100,300,20,100,1,1,7,0,1,125,1,99.4,6.007166666666666e-05
100,300,20,100,1,1,7,1,4,125,1,99.4,8.150333333333333e-05
100,300,20,100,1,1,7,1,1,125,1,99.9,0.00042092666666666666
100,300,20,100,1,1,7,1,4,125,1,99.4,8.150333333333333e-05
100,300,20,100,1,1,10,0,1,125,1,96.1,0.000328175
100,300,20,100,1,1,10,1,4,125,1,95.0,0.0004424766666666667
100,300,20,100,1,1,10,1,1,125,1,96.15,0.002270236666666667
100,300,20,100,1,1,10,1,4,125,1,95.0,0.0004424766666666667
100,300,20,100,1,1,12,0,1,125,1,83.3,0.0012878433333333333
100,300,20,100,1,1,12,1,4,125,1,77.1,0.00174505
100,300,20,100,1,1,12,1,1,125,1,81.99,0.0023144433333333334
100,300,20,100,1,1,12,1,4,125,1,77.1,0.00174505
100,300,20,100,1,2,7,0,1,125,1,99.4,6.007166666666666e-05
100,300,20,100,1,2,7,1,4,125,1,99.4,8.150333333333333e-05
100,300,20,100,1,2,7,1,1,125,1,99.9,0.00042092666666666666
100,300,20,100,1,2,7,1,4,125,1,99.4,8.150333333333333e-05
100,300,20,100,1,2,10,0,1,125,1,96.1,0.000328175
100,300,20,100,1,2,10,1,4,125,1,95.0,0.0004424766666666667
100,300,20,100,1,2,10,1,1,125,1,96.15,0.002270236666666667
100,300,20,100,1,2,10,1,4,125,1,95.0,0.0004424766666666667
100,300,20,100,1,2,12,0,1,125,1,83.3,0.0012878433333333333
100,300,20,100,1,2,12,1,4,125,1,77.1,0.00174505
100,300,20,100,1,2,12,1,1,125,1,81.99,0.0023144433333333334
100,300,20,100,1,2,12,1,4,125,1,77.1,0.00174505
100,300,20,100,1,4,7,0,1,125,1,99.6,6.0071333333333335e-05
100,300,20,100,1,4,7,1,4,125,1,99.6,8.150333333333333e-05
100,300,20,100,1,4,7,1,1,125,1,100.0,0.00044316666666666663
100,300,20,100,1,4,7,1,4,125,1,99.6,8.150333333333333e-05
100,300,20,100,1,4,10,0,1,125,1,94.6,0.0003281746666666667
100,300,20,100,1,4,10,1,4,125,1,92.8,0.0004424766666666667
100,300,20,100,1,4,10,1,1,125,1,97.68,0.0022698700000000002
100,300,20,100,1,4,10,1,4,125,1,92.8,0.0004424766666666667
100,300,20,100,1,4,12,0,1,125,1,81.6,0.00128821
100,300,20,100,1,4,12,1,4,125,1,76.1,0.00174505
100,300,20,100,1,4,12,1,1,125,1,81.12,0.002678903333333333
100,300,20,100,1,4,12,1,4,125,1,76.1,0.00174505
100,300,20,5000,1,1,7,0,1,125,1,11.2,6.007166666666666e-05
100,300,20,5000,1,1,7,1,4,125,1,11.2,8.150333333333333e-05
100,300,20,5000,1,1,7,1,1,125,1,14.4,0.00042092666666666666
100,300,20,5000,1,1,7,1,4,125,1,11.2,8.150333333333333e-05
100,300,20,5000,1,1,10,0,1,125,1,28.2,0.000328175
100,300,20,5000,1,1,10,1,4,125,1,28.2,0.0004424766666666667
100,300,20,5000,1,1,10,1,1,125,1,54.31,0.002270236666666667
100,300,20,5000,1,1,10,1,4,125,1,28.2,0.0004424766666666667
100,300,20,5000,1,1,12,0,1,125,1,50.3,0.0012878433333333333
100,300,20,5000,1,1,12,1,4,125,1,48.1,0.00174505
100,300,20,5000,1,1,12,1,1,125,1,60.59,0.0023144433333333334
100,300,20,5000,1,1,12,1,4,125,1,48.1,0.00174505
100,300,20,5000,1,2,7,0,1,125,1,4.3,6.007166666666666e-05
100,300,20,5000,1,2,7,1,4,125,1,4.3,8.150333333333333e-05
100,300,20,5000,1,2,7,1,1,125,1,6.6,0.00042092666666666666
100,300,20,5000,1,2,7,1,4,125,1,4.3,8.150333333333333e-05
100,300,20,5000,1,2,10,0,1,125,1,11.8,0.000328175
100,300,20,5000,1,2,10,1,4,125,1,11.8,0.0004424766666666667
100,300,20,5000,1,2,10,1,1,125,1,29.08,0.002270236666666667
100,300,20,5000,1,2,10,1,4,125,1,11.8,0.0004424766666666667
100,300,20,5000,1,2,12,0,1,125,1,20.8,0.0012878433333333333
100,300,20,5000,1,2,12,1,4,125,1,20.3,0.00174505
100,300,20,5000,1,2,12,1,1,125,1,33.78,0.0023144433333333334
100,300,20,5000,1,2,12,1,4,125,1,20.3,0.00174505
100,300,20,5000,1,4,7,0,1,125,1,13.7,6.0071333333333335e-05
100,300,20,5000,1,4,7,1,4,125,1,13.7,8.150333333333333e-05
100,300,20,5000,1,4,7,1,1,125,1,16.4,0.00044316666666666663
100,300,20,5000,1,4,7,1,4,125,1,13.7,8.150333333333333e-05
100,300,20,5000,1,4,10,0,1,125,1,31.4,0.0003281746666666667
100,300,20,5000,1,4,10,1,4,125,1,31.1,0.0004424766666666667
100,300,20,5000,1,4,10,1,1,125,1,54.84,0.0022698700000000002
100,300,20,5000,1,4,10,1,4,125,1,31.1,0.0004424766666666667
100,300,20,5000,1,4,12,0,1,125,1,45.7,0.00128821
100,300,20,5000,1,4,12,1,4,125,1,43.6,0.00174505
100,300,20,5000,1,4,12,1,1,125,1,58.06,0.00231481
100,300,20,5000,1,4,12,1,4,125,1,43.6,0.00174505
100,300,20,10000,1,1,7,0,1,125,1,2.3,6.007166666666666e-05
100,300,20,10000,1,1,7,1,4,125,1,2.3,8.150333333333333e-05
100,300,20,10000,1,1,7,1,1,125,1,3.1,0.00042092666666666666
100,300,20,10000,1,1,7,1,4,125,1,2.3,8.150333333333333e-05
100,300,20,10000,1,1,10,0,1,125,1,6.6,0.000328175
100,300,20,10000,1,1,10,1,4,125,1,6.6,0.0004424766666666667
100,300,20,10000,1,1,10,1,1,125,1,13.17,0.002270236666666667
100,300,20,10000,1,1,10,1,4,125,1,6.6,0.0004424766666666667
100,300,20,10000,1,1,12,0,1,125,1,13.7,0.0012878433333333333
100,300,20,10000,1,1,12,1,4,125,1,13.6,0.00174505
100,300,20,10000,1,1,12,1,1,125,1,17.5,0.0023144433333333334
100,300,20,10000,1,1,12,1,4,125,1,13.6,0.00174505
100,300,20,10000,1,2,7,0,1,125,1,1.1,6.007166666666666e-05
100,300,20,10000,1,2,7,1,4,125,1,1.1,8.150333333333333e-05
100,300,20,10000,1,2,7,1,1,125,1,1.7,0.00042092666666666666
100,300,20,10000,1,2,7,1,4,125,1,1.1,8.150333333333333e-05
100,300,20,10000,1,2,10,0,1,125,1,2.4,0.000328175
100,300,20,10000,1,2,10,1,4,125,1,2.4,0.0004424766666666667
100,300,20,10000,1,2,10,1,1,125,1,6.59,0.002270236666666667
100,300,20,10000,1,2,10,1,4,125,1,2.4,0.0004424766666666667
100,300,20,10000,1,2,12,0,1,125,1,5.9,0.0012878433333333333
100,300,20,10000,1,2,12,1,4,125,1,5.9,0.00174505
100,300,20,10000,1,2,12,1,1,125,1,8.7,0.0023144433333333334
100,300,20,10000,1,2,12,1,4,125,1,5.9,0.00174505
100,300,20,10000,1,4,7,0,1,125,1,3.3,6.0071333333333335e-05
100,300,20,10000,1,4,7,1,4,125,1,3.3,8.150333333333333e-05
100,300,20,10000,1,4,7,1,1,125,1,4.1,0.00044316666666666663
100,300,20,10000,1,4,7,1,4,125,1,3.3,8.150333333333333e-05
100,300,20,10000,1,4,10,0,1,125,1,9.6,0.0003281746666666667
100,300,20,10000,1,4,10,1,4,125,1,9.6,0.0004424766666666667
100,300,20,10000,1,4,10,1,1,125,1,18.15,0.0022698700000000002
100,300,20,10000,1,4,10,1,4,125,1,9.6,0.0004424766666666667
100,300,20,10000,1,4,12,0,1,125,1,17.0,0.00128821
100,300,20,10000,1,4,12,1,4,125,1,16.6,0.00174505
100,300,20,10000,1,4,12,1,1,125,1,22.04,0.00231481
100,300,20,10000,1,4,12,1,4,125,1,16.6,0.00174505
100,300,50,100,1,1,7,0,1,125,1,99.3,9.579133333333334e-05
100,300,50,100,1,1,7,1,4,125,1,98.8,0.00013865466666666666
100,300,50,100,1,1,7,1,1,125,1,100.0,0.0006797033333333333
100,300,50,100,1,1,7,1,4,125,1,98.8,0.00013865466666666666
100,300,50,100,1,1,10,0,1,125,1,93.8,0.00051868
100,300,50,100,1,1,10,1,4,125,1,90.6,0.0007472833333333333
100,300,50,100,1,1,10,1,1,125,1,95.04,0.00257116
100,300,50,100,1,1,10,1,4,125,1,90.6,0.0007472833333333333
100,300,50,100,1,1,12,0,1,125,1,72.7,0.0020494899999999997
100,300,50,100,1,1,12,1,4,125,1,63.12,0.0023725266666666666
100,300,50,100,1,1,12,1,1,125,1,67.77,0.002458636666666667
100,300,50,100,1,1,12,1,4,125,1,63.12,0.0023725266666666666
100,300,50,100,1,2,7,0,1,125,1,99.3,9.579133333333334e-05
100,300,50,100,1,2,7,1,4,125,1,98.8,0.00013865466666666666
100,300,50,100,1,2,7,1,1,125,1,100.0,0.0006797033333333333
100,300,50,100,1,2,7,1,4,125,1,98.8,0.00013865466666666666
100,300,50,100,1,2,10,0,1,125,1,93.8,0.00051868
100,300,50,100,1,2,10,1,4,125,1,90.6,0.0007472833333333333
100,300,50,100,1,2,10,1,1,125,1,95.04,0.00257116
100,300,50,100,1,2,10,1,4,125,1,90.6,0.0007472833333333333
100,300,50,100,1,2,12,0,1,125,1,72.7,0.0020494899999999997
100,300,50,100,1,2,12,1,4,125,1,63.12,0.0023725266666666666
100,300,50,100,1,2,12,1,1,125,1,67.77,0.002458636666666667
100,300,50,100,1,2,12,1,4,125,1,63.12,0.0023725266666666666
100,300,50,100,1,4,7,0,1,125,1,99.6,9.579099999999999e-05
100,300,50,100,1,4,7,1,4,125,1,99.2,0.00013865433333333334
100,300,50,100,1,4,7,1,1,125,1,100.0,0.0007070933333333334
100,300,50,100,1,4,7,1,4,125,1,99.2,0.00013865433333333334
100,300,50,100,1,4,10,0,1,125,1,91.1,0.00051868
100,300,50,100,1,4,10,1,4,125,1,89.5,0.0007472833333333333
100,300,50,100,1,4,10,1,1,125,1,93.54,0.002317856666666667
100,300,50,100,1,4,10,1,4,125,1,89.5,0.0007472833333333333
100,300,50,100,1,4,12,0,1,125,1,71.8,0.0020498566666666664
100,300,50,100,1,4,12,1,4,125,1,63.75,0.0023725266666666666
100,300,50,100,1,4,12,1,1,125,1,71.76,0.0022547933333333333
100,300,50,100,1,4,12,1,4,125,1,63.75,0.0023725266666666666
100,300,50,5000,1,1,7,0,1,125,1,11.2,9.579133333333334e-05
100,300,50,5000,1,1,7,1,4,125,1,11.2,0.00013865466666666666
100,300,50,5000,1,1,7,1,1,125,1,16.9,0.0006797033333333333
100,300,50,5000,1,1,7,1,4,125,1,11.2,0.00013865466666666666
100,300,50,5000,1,1,10,0,1,125,1,28.0,0.00051868
100,300,50,5000,1,1,10,1,4,125,1,27.8,0.0007472833333333333
100,300,50,5000,1,1,10,1,1,125,1,51.47,0.0023693633333333334
100,300,50,5000,1,1,10,1,4,125,1,27.8,0.0007472833333333333
100,300,50,5000,1,1,12,0,1,125,1,46.1,0.0020494899999999997
100,300,50,5000,1,1,12,1,4,125,1,42.0,0.0023725266666666666
100,300,50,5000,1,1,12,1,1,125,1,49.04,0.002458636666666667
100,300,50,5000,1,1,12,1,4,125,1,42.0,0.0023725266666666666
100,300,50,5000,1,2,7,0,1,125,1,4.3,9.579133333333334e-05
100,300,50,5000,1,2,7,1,4,125,1,4.3,0.00013865466666666666
100,300,50,5000,1,2,7,1,1,125,1,7.8,0.0006797033333333333
100,300,50,5000,1,2,7,1,4,125,1,4.3,0.00013865466666666666
100,300,50,5000,1,2,10,0,1,125,1,11.8,0.00051868
100,300,50,5000,1,2,10,1,4,125,1,11.8,0.0007472833333333333
100,300,50,5000,1,2,10,1,1,125,1,28.67,0.0023693633333333334
100,300,50,5000,1,2,10,1,4,125,1,11.8,0.0007472833333333333
100,300,50,5000,1,2,12,0,1,125,1,20.0,0.0020494899999999997
100,300,50,5000,1,2,12,1,4,125,1,21.62,0.0023725266666666666
100,300,50,5000,1,2,12,1,1,125,1,24.57,0.002458636666666667
100,300,50,5000,1,2,12,1,4,125,1,21.62,0.0023725266666666666
100,300,50,5000,1,4,7,0,1,125,1,13.7,9.579099999999999e-05
100,300,50,5000,1,4,7,1,4,125,1,13.6,0.00013865433333333334
100,300,50,5000,1,4,7,1,1,125,1,18.5,0.0007070933333333334
100,300,50,5000,1,4,7,1,4,125,1,13.6,0.00013865433333333334
100,300,50,5000,1,4,10,0,1,125,1,30.8,0.00051868
100,300,50,5000,1,4,10,1,4,125,1,30.4,0.0007472833333333333
100,300,50,5000,1,4,10,1,1,125,1,51.87,0.002317856666666667
100,300,50,5000,1,4,10,1,4,125,1,30.4,0.0007472833333333333
100,300,50,5000,1,4,12,0,1,125,1,42.4,0.0020498566666666664
100,300,50,5000,1,4,12,1,4,125,1,40.62,0.0023725266666666666
100,300,50,5000,1,4,12,1,1,125,1,45.63,0.0022547933333333333
100,300,50,5000,1,4,12,1,4,125,1,40.62,0.0023725266666666666
100,300,50,10000,1,1,7,0,1,125,1,2.3,9.579133333333334e-05
100,300,50,10000,1,1,7,1,4,125,1,2.3,0.00013865466666666666
100,300,50,10000,1,1,7,1,1,125,1,3.5,0.0006797033333333333
100,300,50,10000,1,1,7,1,4,125,1,2.3,0.00013865466666666666
100,300,50,10000,1,1,10,0,1,125,1,6.6,0.00051868
100,300,50,10000,1,1,10,1,4,125,1,6.5,0.0007472833333333333
100,300,50,10000,1,1,10,1,1,125,1,13.17,0.0023693633333333334
100,300,50,10000,1,1,10,1,4,125,1,6.5,0.0007472833333333333
100,300,50,10000,1,1,12,0,1,125,1,13.6,0.0020494899999999997
100,300,50,10000,1,1,12,1,4,125,1,13.0,0.0023725266666666666
100,300,50,10000,1,1,12,1,1,125,1,13.62,0.002458636666666667
100,300,50,10000,1,1,12,1,4,125,1,13.0,0.0023725266666666666
100,300,50,10000,1,2,7,0,1,125,1,1.1,9.579133333333334e-05
100,300,50,10000,1,2,7,1,4,125,1,1.1,0.00013865466666666666
100,300,50,10000,1,2,7,1,1,125,1,2.0,0.0006797033333333333
100,300,50,10000,1,2,7,1,4,125,1,1.1,0.00013865466666666666
100,300,50,10000,1,2,10,0,1,125,1,2.4,0.00051868
100,300,50,10000,1,2,10,1,4,125,1,2.4,0.0007472833333333333
100,300,50,10000,1,2,10,1,1,125,1,6.08,0.0023693633333333334
100,300,50,10000,1,2,10,1,4,125,1,2.4,0.0007472833333333333
100,300,50,10000,1,2,12,0,1,125,1,5.9,0.0020494899999999997
100,300,50,10000,1,2,12,1,4,125,1,5.62,0.0023725266666666666
100,300,50,10000,1,2,12,1,1,125,1,6.38,0.002458636666666667
100,300,50,10000,1,2,12,1,4,125,1,5.62,0.0023725266666666666
100,300,50,10000,1,4,7,0,1,125,1,3.3,9.579099999999999e-05
100,300,50,10000,1,4,7,1,4,125,1,3.3,0.00013865433333333334
100,300,50,10000,1,4,7,1,1,125,1,5.0,0.0007070933333333334
100,300,50,10000,1,4,7,1,4,125,1,3.3,0.00013865433333333334
100,300,50,10000,1,4,10,0,1,125,1,9.6,0.00051868
100,300,50,10000,1,4,10,1,4,125,1,9.5,0.0007472833333333333
100,300,50,10000,1,4,10,1,1,125,1,16.75,0.002317856666666667
100,300,50,10000,1,4,10,1,4,125,1,9.5,0.0007472833333333333
100,300,50,10000,1,4,12,0,1,125,1,16.6,0.0020498566666666664
100,300,50,10000,1,4,12,1,4,125,1,17.12,0.0023725266666666666
100,300,50,10000,1,4,12,1,1,125,1,17.6,0.0022547933333333333
100,300,50,10000,1,4,12,1,4,125,1,17.12,0.0023725266666666666
100,600,20,100,1,1,7,0,1,125,1,99.4,3.2282833333333335e-05
100,600,20,100,1,1,7,1,4,125,1,99.3,4.2998833333333326e-05
100,600,20,100,1,1,7,1,1,125,1,100.0,0.00022401666666666667
100,600,20,100,1,1,7,1,4,125,1,99.3,4.2998833333333326e-05
100,600,20,100,1,1,10,0,1,125,1,98.4,0.00016633466666666666
100,600,20,100,1,1,10,1,4,125,1,98.0,0.00022348666666666665
100,600,20,100,1,1,10,1,1,125,1,99.9,0.001391215
100,600,20,100,1,1,10,1,4,125,1,98.0,0.00022348666666666665
100,600,20,100,1,1,12,0,1,125,1,91.6,0.0006463516666666666
100,600,20,100,1,1,12,1,4,125,1,87.2,0.0008749566666666667
100,600,20,100,1,1,12,1,1,125,1,90.58,0.0022509833333333334
100,600,20,100,1,1,12,1,4,125,1,87.2,0.0008749566666666667
100,600,20,100,1,2,7,0,1,125,1,99.4,3.2282833333333335e-05
100,600,20,100,1,2,7,1,4,125,1,99.3,4.2998833333333326e-05
100,600,20,100,1,2,7,1,1,125,1,100.0,0.00022401666666666667
100,600,20,100,1,2,7,1,4,125,1,99.3,4.2998833333333326e-05
100,600,20,100,1,2,10,0,1,125,1,98.4,0.00016633466666666666
100,600,20,100,1,2,10,1,4,125,1,98.0,0.00022348666666666665
100,600,20,100,1,2,10,1,1,125,1,99.9,0.001391215
100,600,20,100,1,2,10,1,4,125,1,98.0,0.00022348666666666665
100,600,20,100,1,2,12,0,1,125,1,91.6,0.0006463516666666666
100,600,20,100,1,2,12,1,4,125,1,87.2,0.0008749566666666667
100,600,20,100,1,2,12,1,1,125,1,90.58,0.0022509833333333334
100,600,20,100,1,2,12,1,4,125,1,87.2,0.0008749566666666667
100,600,20,100,1,4,7,0,1,125,1,99.6,3.228266666666667e-05
100,600,20,100,1,4,7,1,4,125,1,99.5,4.2998666666666665e-05
100,600,20,100,1,4,7,1,1,125,1,100.0,0.000221055
100,600,20,100,1,4,7,1,4,125,1,99.5,4.2998666666666665e-05
100,600,20,100,1,4,10,0,1,125,1,98.4,0.0001663345
100,600,20,100,1,4,10,1,4,125,1,96.5,0.00022348500000000002
